TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,4,00:00,10.35,-0.14,24.75,39.12,40.95,1.01,1.01,1.01,-0.27,1487.43
1,4,00:10,9.85,-4.79,24.58,39.17,39.97,1.0,1.0,1.0,-0.16,1408.76
1,4,00:20,9.48,-4.23,24.34,38.95,33.32,1.0,1.0,1.0,-0.23,1332.42
1,4,00:30,10.45,-5.1,24.08,39.07,33.32,1.01,1.01,1.01,-0.17,1516.19
1,4,00:40,11.09,-3.53,23.93,38.97,33.32,1.04,1.04,1.04,-0.18,1545.16
1,4,00:50,10.22,-0.71,23.89,38.91,29.38,1.0,1.0,1.0,-0.23,1433.15
1,4,01:00,10.65,-2.04,23.87,38.79,31.36,1.02,1.02,1.02,-0.23,1522.86
1,4,01:10,10.8,3.94,23.9,38.79,25.74,1.02,1.02,1.02,-0.26,1507.72
1,4,01:20,11.68,3.43,23.9,38.77,25.69,1.06,1.06,1.06,-0.27,1530.63
1,4,01:30,11.68,4.31,23.82,38.62,26.07,1.06,1.06,1.06,-0.23,1529.87
1,4,01:40,11.92,-4.81,23.64,38.43,33.35,1.07,1.07,1.07,-0.23,1528.03
1,4,01:50,12.31,-3.73,23.53,38.37,33.35,1.08,1.08,1.08,-0.23,1516.26
1,4,02:00,12.38,-5.75,23.49,38.21,33.35,1.08,1.08,1.08,-0.19,1508.51
1,4,02:10,13.24,-9.22,23.39,37.84,33.35,1.09,1.09,1.09,-0.23,1522.04
1,4,02:20,13.33,0.02,23.29,37.64,23.18,1.1,1.1,1.1,-0.21,1541.77
1,4,02:30,13.27,1.18,23.29,37.66,22.64,1.1,1.1,1.1,-0.26,1538.77
1,4,02:40,13.18,-0.54,23.29,37.59,22.64,1.1,1.1,1.1,-0.24,1544.76
1,4,02:50,12.75,-1.42,23.22,37.59,22.64,1.09,1.09,1.09,-0.24,1548.32
1,4,03:00,12.58,-4.64,23.14,37.56,22.64,1.09,1.09,1.09,-0.26,1543.95
1,4,03:10,12.95,-3.59,23.1,37.57,22.64,1.09,1.09,1.09,-0.26,1549.95
1,4,03:20,12.83,-2.92,23.19,37.59,22.64,1.09,1.09,1.09,-0.22,1549.37
1,4,03:30,12.53,-1.31,23.1,37.59,22.64,1.09,1.09,1.09,-0.2,1541.74
1,4,03:40,12.41,1.16,23.08,37.6,22.64,1.08,1.08,1.08,-0.29,1548.14
1,4,03:50,12.19,1.08,22.98,37.6,22.64,1.08,1.08,1.08,-0.23,1534.34
1,4,04:00,12.51,-1.74,22.92,37.59,22.64,1.09,1.09,1.09,-0.21,1542.27
1,4,04:10,12.33,0.44,22.9,37.59,22.64,1.08,1.08,1.08,-0.26,1544.26
1,4,04:20,11.91,-0.17,22.89,37.59,22.64,1.08,1.08,1.08,-0.25,1536.76
1,4,04:30,12.24,1.7,22.8,37.57,22.64,1.08,1.08,1.08,-0.2,1541.44
1,4,04:40,11.98,4.76,22.7,37.43,22.64,1.07,1.07,1.07,-0.19,1519.26
1,4,04:50,11.53,2.72,22.56,37.4,22.64,1.06,1.06,1.06,-0.26,1534.93
1,4,05:00,11.33,3.89,22.43,37.37,22.64,1.05,1.05,1.05,-0.24,1537.44
1,4,05:10,11.77,4.85,22.35,37.28,22.64,1.07,1.07,1.07,-0.2,1513.67
1,4,05:20,11.5,1.51,22.37,37.27,22.64,1.06,1.06,1.06,-0.31,1524.67
1,4,05:30,11.24,0.25,22.29,37.26,22.64,1.06,1.06,1.06,-0.25,1519.99
1,4,05:40,11.21,-0.89,22.29,37.23,22.64,1.05,1.05,1.05,-0.22,1535.97
1,4,05:50,11.55,-1.26,22.28,37.19,22.64,1.07,1.07,1.07,-0.22,1451.01
1,4,06:00,11.55,-3.33,22.2,37.09,22.64,1.06,1.06,1.06,-0.2,1544.67
1,4,06:10,11.77,-0.78,22.14,37.09,22.64,1.07,1.07,1.07,-0.21,1531.91
1,4,06:20,11.73,0.17,22.09,37.05,22.64,1.07,1.07,1.07,-0.26,1546.11
1,4,06:30,12.02,1.48,22.03,37.05,22.64,1.07,1.07,1.07,-0.24,1531.58
1,4,06:40,12.54,0.68,22.07,36.99,22.64,1.09,1.09,1.09,-0.24,1529.86
1,4,06:50,12.13,3.37,22.1,36.81,22.64,1.08,1.08,1.08,-0.24,1532.37
1,4,07:00,12.27,3.93,22.1,36.79,22.64,1.08,1.08,1.08,-0.25,1502.28
1,4,07:10,12.29,5.52,22.01,36.77,22.64,1.08,1.08,1.08,-0.24,1532.38
1,4,07:20,12.3,5.98,22.0,36.7,22.64,1.08,1.08,1.08,-0.23,1530.89
1,4,07:30,12.2,6.12,22.0,36.7,22.64,1.08,1.08,1.08,-0.22,1512.48
1,4,07:40,12.47,6.88,22.02,36.7,22.64,1.08,1.08,1.08,-0.21,1533.52
1,4,07:50,11.57,-2.16,22.1,36.52,32.3,1.06,1.06,1.06,-0.2,1500.0
1,4,08:00,11.35,-2.65,22.1,36.66,33.35,1.06,1.06,1.06,-0.25,1534.57
1,4,08:10,11.05,-0.44,22.2,36.84,33.35,1.05,1.05,1.05,-0.22,1491.23
1,4,08:20,11.28,5.31,22.29,37.03,33.4,1.06,1.06,1.06,-0.21,1465.61
1,4,08:30,11.02,-3.69,22.45,37.05,40.98,1.05,1.05,1.05,-0.25,1465.49
1,4,08:40,11.07,-4.68,22.58,37.2,41.01,1.04,1.04,1.04,-0.17,1519.31
1,4,08:50,11.37,-1.28,22.71,37.29,37.68,1.06,1.06,1.06,-0.24,1507.73
1,4,09:00,11.89,-0.38,22.85,37.49,38.79,1.07,1.07,1.07,-0.19,1510.99
1,4,09:10,12.66,-3.11,22.94,37.41,41.28,1.09,1.09,1.09,-0.27,1528.67
1,4,09:20,12.66,-5.57,23.12,37.43,41.29,1.09,1.09,1.09,-0.27,1504.16
1,4,09:30,11.27,-1.67,23.3,37.52,39.52,1.05,1.05,1.05,-0.25,1510.82
1,4,09:40,11.01,-0.74,23.64,37.86,40.98,1.42,1.42,1.42,-0.06,737.9
1,4,09:50,12.51,-2.75,23.97,38.01,40.98,1.08,1.08,1.08,-0.22,1549.66
1,4,10:00,12.01,-0.22,23.97,37.73,40.62,1.07,1.07,1.07,-0.23,1549.27
1,4,10:10,12.72,3.54,24.21,37.95,41.13,1.09,1.09,1.09,-0.2,1549.99
1,4,10:20,12.47,-5.79,24.41,38.16,43.18,1.08,1.08,1.08,-0.19,1549.33
1,4,10:30,12.25,-1.47,24.72,38.35,40.18,1.07,1.07,1.07,-0.22,1542.44
1,4,10:40,12.03,-2.17,25.05,38.56,39.62,1.06,1.06,1.06,-0.18,1547.11
1,4,10:50,12.12,3.12,25.42,38.92,41.66,1.07,1.07,1.07,-0.2,1534.13
1,4,11:00,12.59,-2.71,25.7,39.17,46.08,1.08,1.08,1.08,-0.22,1540.59
1,4,11:10,11.79,-2.04,26.0,39.42,40.38,1.06,1.06,1.06,-0.2,1527.62
1,4,11:20,12.39,-0.41,26.36,39.83,45.43,1.07,1.07,1.07,-0.21,1549.75
1,4,11:30,12.15,-3.06,26.56,40.02,49.13,1.06,1.06,1.06,-0.23,1542.67
1,4,11:40,12.36,-2.05,26.87,40.29,41.58,1.07,1.07,1.07,-0.24,1534.5
1,4,11:50,12.73,3.38,27.24,40.58,42.04,1.08,1.08,1.08,-0.17,1542.86
1,4,12:00,12.64,-0.82,27.57,40.85,50.46,1.08,1.08,1.08,-0.19,1549.09
1,4,12:10,12.69,0.27,27.75,41.04,44.51,1.08,1.08,1.08,-0.22,1528.23
1,4,12:20,13.02,0.37,27.9,41.23,50.06,1.08,1.08,1.08,-0.24,1545.66
1,4,12:30,12.68,2.6,28.15,41.35,47.25,1.08,1.08,1.08,-0.24,1542.25
1,4,12:40,12.65,1.26,28.38,41.59,53.47,1.08,1.08,1.08,-0.19,1535.52
1,4,12:50,12.53,-0.02,28.55,41.78,47.19,1.08,1.08,1.08,-0.25,1548.12
1,4,13:00,12.55,1.59,28.78,42.05,49.76,1.08,1.08,1.08,-0.27,1541.3
1,4,13:10,12.11,0.51,29.14,42.25,57.61,1.07,1.07,1.07,-0.25,1537.33
1,4,13:20,11.81,0.48,29.39,42.54,47.09,1.06,1.06,1.06,-0.21,1535.8
1,4,13:30,11.6,2.46,29.4,42.85,51.72,1.05,1.05,1.05,-0.25,1508.34
1,4,13:40,10.7,-1.64,29.52,42.9,51.23,1.03,1.03,1.03,-0.23,1454.43
1,4,13:50,11.21,1.62,29.69,43.03,53.67,1.03,1.03,1.03,-0.21,1484.15
1,4,14:00,10.7,0.97,30.06,43.32,44.62,1.02,1.02,1.02,-0.24,1421.67
1,4,14:10,10.35,-1.28,30.45,43.7,45.54,1.01,1.01,1.01,-0.24,1376.67
1,4,14:20,10.46,1.07,30.6,43.82,41.48,1.01,1.01,1.01,-0.25,1403.2
1,4,14:30,10.94,-0.53,30.82,43.98,53.38,1.03,1.03,1.03,-0.18,1432.98
1,4,14:40,9.29,0.33,30.88,43.95,50.54,1.0,1.0,1.0,-0.25,1217.49
1,4,14:50,9.46,0.85,31.03,44.0,55.19,1.01,1.01,1.01,-0.18,1226.49
1,4,15:00,9.29,0.94,31.25,44.25,56.01,1.01,1.01,1.01,-0.26,1170.47
1,4,15:10,9.8,-0.11,31.49,44.49,57.03,1.01,1.01,1.01,-0.15,1248.72
1,4,15:20,8.04,1.02,31.63,44.43,50.1,1.0,1.0,1.0,-0.23,909.24
1,4,15:30,8.48,1.09,31.86,44.6,47.6,1.0,1.0,1.0,-0.25,976.12
1,4,15:40,8.72,0.92,31.96,44.69,50.69,1.0,1.0,1.0,-0.24,1032.1
1,4,15:50,8.12,-2.48,31.9,44.42,54.76,1.0,1.0,1.0,-0.25,920.02
1,4,16:00,6.96,0.91,31.96,44.39,53.41,1.0,1.0,1.0,-0.25,641.61
1,4,16:10,7.45,-2.7,31.96,44.29,56.23,1.0,1.0,1.0,-0.33,810.13
1,4,16:20,7.27,-0.93,31.98,44.29,50.57,1.0,1.0,1.0,-0.21,687.06
1,4,16:30,5.97,-1.56,31.92,44.18,55.49,1.0,1.0,1.0,-0.27,472.67
1,4,16:40,6.7,-1.54,31.99,43.92,47.21,1.0,1.0,1.0,-0.26,645.02
1,4,16:50,6.11,2.58,31.99,43.73,46.92,1.0,1.0,1.0,-0.26,512.0
1,4,17:00,6.18,-0.97,31.99,43.61,62.29,1.0,1.0,1.0,-0.23,495.29
1,4,17:10,6.09,-0.59,31.9,43.49,44.4,1.0,1.0,1.0,-0.27,458.63
1,4,17:20,6.01,1.44,31.9,43.26,37.13,0.99,0.99,0.99,-0.22,491.58
1,4,17:30,5.85,0.85,31.92,42.98,55.09,0.99,0.99,0.99,-0.26,436.32
1,4,17:40,5.47,1.99,31.93,42.9,51.08,1.0,1.0,1.0,-0.24,414.8
1,4,17:50,5.67,-0.49,32.0,42.82,48.38,0.99,0.99,0.99,-0.24,427.89
1,4,18:00,5.95,-0.41,32.08,42.67,60.55,0.99,0.99,0.99,-0.28,434.48
1,4,18:10,5.45,0.9,31.98,42.57,53.58,0.99,0.99,0.99,-0.23,382.58
1,4,18:20,6.21,-0.86,31.89,42.41,55.69,1.0,1.0,1.0,-0.24,489.54
1,4,18:30,6.53,-1.73,31.79,42.21,54.78,0.99,0.99,0.99,-0.25,565.94
1,4,18:40,5.95,-0.82,31.71,42.06,55.29,1.0,1.0,1.0,-0.24,442.22
1,4,18:50,5.5,-0.26,31.68,41.99,61.43,0.99,0.99,0.99,-0.24,379.68
1,4,19:00,5.44,-1.58,31.6,41.76,54.47,0.99,0.99,0.99,-0.26,366.42
1,4,19:10,5.82,-0.23,31.59,41.78,69.04,0.99,0.99,0.99,-0.27,402.37
1,4,19:20,5.03,1.86,31.56,41.46,67.23,0.99,0.99,0.99,-0.27,294.14
1,4,19:30,5.73,-0.59,31.4,41.35,64.86,0.99,0.99,0.99,-0.25,387.23
1,4,19:40,5.37,0.65,31.29,41.23,71.53,0.99,0.99,0.99,-0.23,340.66
1,4,19:50,5.99,0.29,31.19,40.91,70.0,0.99,0.99,0.99,-0.26,413.34
1,4,20:00,6.26,-1.17,31.07,40.97,69.28,1.0,1.0,1.0,-0.26,471.07
1,4,20:10,6.14,1.37,30.99,40.77,69.28,1.0,1.0,1.0,-0.25,440.83
1,4,20:20,6.02,-3.51,30.85,40.62,69.28,0.99,0.99,0.99,-0.24,405.66
1,4,20:30,5.2,-4.42,30.77,40.38,69.28,0.99,0.99,0.99,-0.23,297.2
1,4,20:40,5.08,-2.3,30.62,40.15,62.18,0.99,0.99,0.99,-0.22,276.93
1,4,20:50,4.76,-4.88,30.53,39.95,61.69,0.99,0.99,0.99,-0.23,238.54
1,4,21:00,5.35,-1.54,30.43,39.85,54.06,0.99,0.99,0.99,-0.23,303.17
1,4,21:10,5.42,-2.46,30.38,39.79,49.61,0.99,0.99,0.99,-0.24,320.32
1,4,21:20,5.04,-2.98,30.28,39.61,42.94,0.99,0.99,0.99,-0.24,280.08
1,4,21:30,4.59,-3.35,30.17,39.35,34.56,0.99,0.99,0.99,-0.23,227.73
1,4,21:40,6.28,-1.93,29.97,39.3,12.21,0.99,0.99,0.99,-0.27,488.45
1,4,21:50,7.78,4.22,29.92,39.71,9.25,1.0,1.0,1.0,-0.27,802.05
1,4,22:00,8.83,0.78,29.87,39.79,12.2,1.0,1.0,1.0,-0.2,1074.46
1,4,22:10,9.07,-0.36,29.7,39.77,17.79,1.0,1.0,1.0,-0.19,1079.95
