TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,1,00:00,,,,,,,,,,
1,1,00:10,6.17,-3.99,30.73,41.8,25.92,1.0,1.0,1.0,-0.25,494.66
1,1,00:20,6.27,-2.18,30.6,41.63,20.91,1.0,1.0,1.0,-0.24,509.76
1,1,00:30,6.42,-0.73,30.52,41.52,20.91,1.0,1.0,1.0,-0.26,542.53
1,1,00:40,6.25,0.89,30.49,41.38,20.91,1.0,1.0,1.0,-0.23,509.36
1,1,00:50,6.1,-1.03,30.47,41.22,20.91,1.0,1.0,1.0,-0.27,482.21
1,1,01:00,6.77,1.07,30.31,41.19,20.91,1.0,1.0,1.0,-0.23,584.75
1,1,01:10,6.7,-2.8,30.24,41.0,20.91,1.0,1.0,1.0,-0.23,557.98
1,1,01:20,6.44,-3.46,30.13,40.91,20.91,1.0,1.0,1.0,-0.21,503.94
1,1,01:30,6.25,-3.15,29.97,40.72,20.91,1.0,1.0,1.0,-0.26,463.37
1,1,01:40,6.87,-4.58,29.87,40.7,20.91,1.0,1.0,1.0,-0.25,577.47
1,1,01:50,6.6,-2.17,29.75,40.62,16.87,1.0,1.0,1.0,-0.25,538.85
1,1,02:00,6.71,-1.42,29.68,40.47,13.32,1.0,1.0,1.0,-0.26,559.37
1,1,02:10,6.86,-3.85,29.61,40.44,13.32,1.0,1.0,1.0,-0.23,585.51
1,1,02:20,6.88,-1.31,29.68,40.49,13.32,1.0,1.0,1.0,-0.26,608.83
1,1,02:30,7.1,-0.57,29.7,40.44,13.32,1.0,1.0,1.0,-0.28,675.43
1,1,02:40,7.16,-2.52,29.7,40.4,7.92,1.0,1.0,1.0,-0.25,716.68
1,1,02:50,6.8,-3.16,29.7,40.48,2.87,1.0,1.0,1.0,-0.3,629.83
1,1,03:00,6.85,3.03,29.7,40.53,-1.86,1.0,1.0,1.0,-0.26,651.13
1,1,03:10,6.85,-0.64,29.75,40.6,2.66,1.0,1.0,1.0,-0.27,677.56
1,1,03:20,6.57,-3.02,29.89,40.76,5.73,1.0,1.0,1.0,-0.27,619.05
1,1,03:30,6.36,-1.6,29.83,40.86,5.73,1.0,1.0,1.0,-0.31,576.73
1,1,03:40,6.88,-1.41,29.79,40.83,1.42,1.0,1.0,1.0,-0.28,665.23
1,1,03:50,7.32,-0.7,29.79,40.93,-1.86,1.0,1.0,1.0,-0.26,761.74
1,1,04:00,7.92,-1.04,29.81,40.8,-7.79,1.0,1.0,1.0,-0.25,898.34
1,1,04:10,7.73,2.44,29.8,40.82,-9.46,1.0,1.0,1.0,-0.32,867.22
1,1,04:20,8.46,2.76,29.91,40.86,-7.77,1.0,1.0,1.0,-0.26,1048.81
1,1,04:30,8.81,0.0,30.03,41.02,-1.85,1.0,1.0,1.0,-0.27,1137.1
1,1,04:40,9.23,-2.7,30.1,41.19,-1.83,1.0,1.0,1.0,-0.17,1207.96
1,1,04:50,9.45,-4.56,30.09,41.17,-1.83,1.0,1.0,1.0,-0.3,1239.41
1,1,05:00,9.4,-3.15,30.19,41.29,-1.83,1.0,1.0,1.0,-0.22,1179.6
1,1,05:10,9.5,-3.01,30.2,41.52,-1.83,1.0,1.0,1.0,-0.27,1183.42
1,1,05:20,8.93,-4.44,30.2,41.64,-1.83,1.0,1.0,1.0,-0.25,1036.78
1,1,05:30,8.09,-1.54,30.2,41.82,-1.83,1.0,1.0,1.0,-0.23,848.96
1,1,05:40,7.77,-2.17,30.14,41.9,-1.83,1.0,1.0,1.0,-0.28,748.75
1,1,05:50,7.99,-1.97,30.09,41.93,-7.4,1.0,1.0,1.0,-0.27,809.36
1,1,06:00,8.01,0.15,30.1,41.95,-9.42,1.0,1.0,1.0,-0.21,821.64
1,1,06:10,8.06,-3.77,30.06,41.87,-12.16,1.0,1.0,1.0,-0.22,816.59
1,1,06:20,9.11,-3.31,29.82,41.73,-21.32,1.0,1.0,1.0,-0.24,1118.95
1,1,06:30,10.96,-0.38,29.51,41.55,-30.46,1.01,1.01,1.01,-0.22,1476.3
1,1,06:40,12.81,-2.17,29.44,41.51,-23.73,1.07,1.07,1.07,-0.26,1539.55
1,1,06:50,13.43,-0.49,29.43,41.35,-23.73,1.09,1.09,1.09,-0.17,1550.02
1,1,07:00,12.83,-3.44,29.34,41.29,-23.73,1.07,1.07,1.07,-0.24,1550.1
1,1,07:10,12.65,-1.91,29.22,41.31,-23.73,1.07,1.07,1.07,-0.32,1549.86
1,1,07:20,12.52,0.99,29.24,41.53,-23.73,1.06,1.06,1.06,-0.26,1550.15
1,1,07:30,13.25,0.45,29.33,41.71,-23.73,1.08,1.08,1.08,-0.21,1549.96
1,1,07:40,13.48,-0.12,29.17,41.84,-23.73,1.08,1.08,1.08,-0.2,1549.88
1,1,07:50,13.04,-0.37,29.08,41.86,-23.73,1.07,1.07,1.07,-0.19,1549.55
1,1,08:00,12.23,-0.83,29.08,41.9,-23.73,1.07,1.07,1.07,-0.21,1549.53
1,1,08:10,11.58,-3.32,29.01,42.01,-23.7,1.06,1.06,1.06,-0.25,1549.71
1,1,08:20,11.21,-1.38,29.17,42.24,-28.84,1.04,1.04,1.04,-0.25,1534.77
1,1,08:30,10.84,0.06,29.46,42.43,-31.39,1.03,1.03,1.03,-0.25,1508.2
1,1,08:40,11.03,2.03,29.82,42.77,-31.39,1.03,1.03,1.03,-66.01,1517.76
1,1,08:50,12.23,2.65,30.22,43.1,-27.37,1.07,1.07,1.07,-61.25,1549.79
1,1,09:00,12.19,-1.5,30.52,43.23,-23.69,1.07,1.07,1.07,-0.26,1529.05
